Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,2.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 800ppm CapB, 1.7% APG (180)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,1.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0.75,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1.4% AOS, 2500ppm CapB, 2% APG (AOS 33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,7.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 12% Citric, 1.4% AOS, 2500ppm CapB, 2% APG (AOS 34)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,6.75,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.4% AOS, 2700ppm CapB, 2% APG (AOS 36)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,6.75,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.4% AOS, 2000ppm CapB, 2% APG (AOS 38)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,5.5,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.6% AOS, 2500ppm CapB, 2% APG (AOS 37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,6.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.4% AOS, 2500ppm CapB, 2% APG (AOS 31)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,7.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.3% AOS, 2500ppm CapB, 1.1% APG (AOS 29)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,7,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.4% AOS, 3000ppm CapB, 2% APG (AOS 39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,6.5,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,1.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.4% AOS, 2500ppm CapB, 2% APG (AOS 41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,7.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0.75,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% AOS, 800ppm CapB, 2% APG (AOS 49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,10.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,10,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% AOS, 2% APG (AOS 54)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,9.5,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,7.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% AOS, 7100ppm CapB,  2% APG (AOS 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,9.5,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,8.75,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 1000ppm CapB,  2% APG (AOS 57)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,8.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,7.75,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.4% AOS, 2000ppm CapB, 2% APG (AOS 40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,12-Dec,,7.75,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Dec,,0,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% AOS, 2000ppm CapB, 2% APG (AOS 51)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,11.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,10,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,11.25,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,10,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% AOS, 1000ppm CapB, 2% APG (AOS 50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,9.75,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,9.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% AOS, 2500ppm CapB, 2% APG (AOS 52)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,9.5,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,9,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 4% AOS, 1% CapB, 2% APG (AOS 53)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,10,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,9,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 2000ppm CapB, 2% APG (AOS 58)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,7,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,7,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 800ppm CapB, 2% APG (AOS 56)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,8.5,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,8,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 600ppm CapB,  2% APG (AOS 55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,8.75,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,8.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2500ppm CapB, 2.5% AOS, 2% APG (AOS 89)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,17-Dec,,32.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,18-Dec,,27.5,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,19-Dec,,25,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,20-Dec,,15,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 2% APG (AOS 59)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,35C,,3cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,16-Dec,,7.75,"Small foam structure, though not as dense",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 - 7h ,,,7,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 0.5% CapB, 3.4% AOS, 2% APG (AOS 86)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,17-Dec,,35,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,18-Dec,,30,Medium  -Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,19-Dec,,25,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,20-Dec,,23.75,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% CapB, 3% AOS, 3% APG (AOS 97)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Dec,,41.25,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Dec,,37.5,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,20-Dec,,32.5,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% CapB, 2.5% AOS, 4% APG (AOS 98)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,3:1 ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Dec,,35,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Dec,,33.75,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70x Dilution ,50mL tube,,,3:1 ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Dec,,37.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Dec,,28.75,Large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,sonicated (1 stream),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,03-Jan,,40,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 0.9% CapB, 2.5% AOS, 3% APG (AOS 100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Dec,,31.25,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Dec,,27.5,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1% CapB, 2% AOS, 8% APG (AOS 113)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Dec,,42.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 1% CapB, 2.5% AOS, 4% APG (AOS 106)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,3:1 ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Dec,,41.75,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70x Dilution ,50mL tube,,3:1 ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Dec,,42.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1% CapB, 2.5% AOS, 4% APG (AOS 108)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,3:1 ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Dec,,37.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70x Dilution ,50mL tube,,3:1 ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Dec,,36.75,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,3:1 ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,03-Jan,,42,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,1 stream-sonicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,03-Jan,,43,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,1 stream-sonicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,07-Jan,,43,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1% CapB, 2% AOS, 4% APG (AOS 114)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Dec,,42.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 8% Citric, 1% CapB, 2.5% AOS, 4% APG (AOS 108)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,03-Jan,,36,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% CA, 800ppm CapB, 1.7% APG (No name 4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,22-Jan,,11.25,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,23-Jan,,8.75,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,24-Jan,,10,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,27-Jan,,7.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,29-Jan,,8.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,31-Jan,,5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% CA, 1800ppm CapB, 2.2% APG (No name 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,22-Jan,,16.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,23-Jan,,12.5,Small bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,24-Jan,,10,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,27-Jan,,7.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,29-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% CA, 2.5% AOS, 1% CapB, 4% APG (No name 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,22-Jan,,37.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,23-Jan,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,24-Jan,,32.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,27-Jan,,28.75,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,29-Jan,,25,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,31-Jan,,22.5,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 12,03-Feb,,21.75,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% CA, 2.5% AOS, 1% CapB, 4% APG (surfactant only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,04-Feb,,35,"Compact foam, slightly fluffy",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,05-Feb,,32.5,"medium bubbles, no texture",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,06-Feb,,28.75,"medium-large bubbles, no texture",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 8% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 107)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,28.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
